State,Date,New Deaths,7-Day Moving Avg(covid deaths),Current Hospitalized COVID-19 Patients,Historic Deaths
United States,Aug 28 2020,1037,915,32538.14,0
United States,Aug 27 2020,960,913,32992.57,0
United States,Aug 26 2020,1065,918,33546.29,0
United States,Aug 25 2020,890,949,34178.86,0
United States,Aug 24 2020,613,956,34770.14,0
United States,Aug 23 2020,845,962,35427.57,0
United States,Aug 22 2020,998,969,36051.71,0
United States,Aug 21 2020,1024,961,36407.57,0
United States,Aug 20 2020,996,967,37046.29,0
United States,Aug 19 2020,1280,996,37522.29,0
United States,Aug 18 2020,942,1005,38041.57,0
United States,Aug 17 2020,655,1027,38416.86,0
United States,Aug 16 2020,891,1051,38775.43,0
United States,Aug 15 2020,942,1052,39086.71,0
United States,Aug 14 2020,1065,1066,39595.29,0
United States,Aug 13 2020,1202,1102,40081.14,0
United States,Aug 12 2020,1341,1103,40529.43,0
United States,Aug 11 2020,1097,1092,40952.14,0
United States,Aug 10 2020,823,1091,41444.57,0
United States,Aug  9 2020,896,1101,41978.86,0
United States,Aug  8 2020,1043,1104,42563.14,0
United States,Aug  7 2020,1318,1115,42838.43,0
United States,Aug  6 2020,1205,1125,43005.17,0
United States,Aug  5 2020,1266,1156,43063,0
United States,Aug  4 2020,1089,1142,42954.25,0
United States,Aug  3 2020,890,1156,42711,0
United States,Aug  2 2020,917,1165,42008.5,0
United States,Aug  1 2020,1125,1170,41019,0
United States,Jul 31 2020,1389,1172,N/A,0
United States,Jul 30 2020,1421,1165,N/A,0
United States,Jul 29 2020,1168,1142,N/A,0
United States,Jul 28 2020,1184,1146,N/A,0
United States,Jul 27 2020,953,1146,N/A,0
United States,Jul 26 2020,951,1136,N/A,0
United States,Jul 25 2020,1142,1133,N/A,0
United States,Jul 24 2020,1338,1112,N/A,0
United States,Jul 23 2020,1262,1077,N/A,0
United States,Jul 22 2020,1195,1051,N/A,0
United States,Jul 21 2020,1185,1041,N/A,0
United States,Jul 20 2020,880,1004,N/A,0
United States,Jul 19 2020,932,983,N/A,0
United States,Jul 18 2020,994,970,N/A,0
United States,Jul 17 2020,1092,954,N/A,0
United States,Jul 16 2020,1082,934,N/A,0
United States,Jul 15 2020,1127,916,N/A,0
United States,Jul 14 2020,924,910,N/A,0
United States,Jul 13 2020,736,910,N/A,0
United States,Jul 12 2020,835,895,N/A,0
United States,Jul 11 2020,887,840,N/A,0
United States,Jul 10 2020,952,791,N/A,0
United States,Jul  9 2020,952,771,N/A,0
United States,Jul  8 2020,1090,736,N/A,0
United States,Jul  7 2020,923,692,N/A,0
United States,Jul  6 2020,627,651,N/A,0
United States,Jul  5 2020,455,630,N/A,0
United States,Jul  4 2020,543,627,N/A,0
United States,Jul  3 2020,812,632,N/A,0
United States,Jul  2 2020,704,617,N/A,0
United States,Jul  1 2020,782,619,N/A,0
United States,Jun 30 2020,640,606,N/A,0
United States,Jun 29 2020,474,620,N/A,0
United States,Jun 28 2020,438,623,N/A,0
United States,Jun 27 2020,576,620,N/A,0
United States,Jun 26 2020,706,620,N/A,0
United States,Jun 25 2020,720,625,N/A,1824
United States,Jun 24 2020,691,616,N/A,0
United States,Jun 23 2020,737,614,N/A,0
United States,Jun 22 2020,496,604,N/A,0
United States,Jun 21 2020,418,610,N/A,0
United States,Jun 20 2020,572,620,N/A,0
United States,Jun 19 2020,744,636,N/A,0
United States,Jun 18 2020,655,634,N/A,0
United States,Jun 17 2020,678,668,N/A,0
United States,Jun 16 2020,669,696,N/A,0
United States,Jun 15 2020,537,718,N/A,0
United States,Jun 14 2020,488,756,N/A,0
United States,Jun 13 2020,684,770,N/A,0
United States,Jun 12 2020,731,769,N/A,0
United States,Jun 11 2020,894,788,N/A,0
United States,Jun 10 2020,869,785,N/A,0
United States,Jun  9 2020,827,808,N/A,0
United States,Jun  8 2020,799,824,N/A,0
United States,Jun  7 2020,586,809,N/A,0
United States,Jun  6 2020,678,823,N/A,0
United States,Jun  5 2020,865,855,N/A,0
United States,Jun  4 2020,876,880,N/A,0
United States,Jun  3 2020,1028,928,N/A,0
United States,Jun  2 2020,939,966,N/A,0
United States,Jun  1 2020,694,950,N/A,0
United States,May 31 2020,684,948,N/A,0
United States,May 30 2020,900,966,N/A,0
United States,May 29 2020,1039,969,N/A,0
United States,May 28 2020,1218,1077,N/A,0
United States,May 27 2020,1288,1059,N/A,0
United States,May 26 2020,831,1070,N/A,0
United States,May 25 2020,681,1120,N/A,0
United States,May 24 2020,809,1161,N/A,0
United States,May 23 2020,923,1178,N/A,0
United States,May 22 2020,1794,1221,N/A,0
United States,May 21 2020,1091,1185,N/A,0
United States,May 20 2020,1363,1305,N/A,0
United States,May 19 2020,1184,1325,N/A,0
United States,May 18 2020,966,1375,N/A,0
United States,May 17 2020,926,1389,N/A,0
United States,May 16 2020,1225,1411,N/A,0
United States,May 15 2020,1542,1449,N/A,0
United States,May 14 2020,1933,1458,N/A,0
United States,May 13 2020,1504,1482,N/A,0
United States,May 12 2020,1530,1600,N/A,0
United States,May 11 2020,1067,1729,N/A,0
United States,May 10 2020,1081,1754,N/A,0
United States,May  9 2020,1491,1805,N/A,0
United States,May  8 2020,1603,1821,N/A,0
United States,May  7 2020,2098,1867,N/A,0
United States,May  6 2020,2335,1886,N/A,0
United States,May  5 2020,2433,1897,N/A,0
United States,May  4 2020,1242,1850,N/A,0
United States,May  3 2020,1433,1889,N/A,0
United States,May  2 2020,1606,1906,N/A,0
United States,May  1 2020,1927,1943,N/A,0
United States,Apr 30 2020,2227,1964,N/A,0
United States,Apr 29 2020,2414,1932,N/A,0
United States,Apr 28 2020,2106,1909,N/A,0
United States,Apr 27 2020,1513,1988,N/A,0
United States,Apr 26 2020,1552,2065,N/A,0
United States,Apr 25 2020,1862,2130,N/A,0
United States,Apr 24 2020,2080,2132,N/A,0
United States,Apr 23 2020,2002,2167,N/A,0
United States,Apr 22 2020,2251,2231,N/A,0
United States,Apr 21 2020,2658,2296,N/A,0
United States,Apr 20 2020,2056,2269,N/A,0
United States,Apr 19 2020,2004,2246,N/A,0
United States,Apr 18 2020,1876,2226,N/A,0
United States,Apr 17 2020,2322,2273,N/A,0
United States,Apr 16 2020,2454,2260,N/A,0
United States,Apr 15 2020,2703,2226,N/A,0
United States,Apr 14 2020,2472,2161,N/A,0
United States,Apr 13 2020,1895,2108,N/A,0
United States,Apr 12 2020,1862,2080,N/A,0
United States,Apr 11 2020,2203,2081,N/A,0
United States,Apr 10 2020,2237,1987,N/A,0
United States,Apr  9 2020,2216,1864,N/A,0
United States,Apr  8 2020,2244,1735,N/A,0
United States,Apr  7 2020,2100,1575,N/A,0
United States,Apr  6 2020,1699,1416,N/A,0
United States,Apr  5 2020,1871,1263,N/A,0
United States,Apr  4 2020,1548,1091,N/A,0
United States,Apr  3 2020,1373,950,N/A,0
United States,Apr  2 2020,1311,823,N/A,0
United States,Apr  1 2020,1123,684,N/A,0
United States,Mar 31 2020,990,566,N/A,0
United States,Mar 30 2020,626,455,N/A,0
United States,Mar 29 2020,668,389,N/A,0
United States,Mar 28 2020,560,311,N/A,0
United States,Mar 27 2020,485,247,N/A,0
United States,Mar 26 2020,338,191,N/A,0
United States,Mar 25 2020,301,152,N/A,0
United States,Mar 24 2020,212,119,N/A,0
United States,Mar 23 2020,161,92,N/A,0
United States,Mar 22 2020,123,72,N/A,0
United States,Mar 21 2020,112,57,N/A,0
United States,Mar 20 2020,92,43,N/A,0
United States,Mar 19 2020,69,32,N/A,0
United States,Mar 18 2020,64,23,N/A,0
United States,Mar 17 2020,27,15,N/A,0
United States,Mar 16 2020,21,13,N/A,0
United States,Mar 15 2020,20,10,N/A,0
United States,Mar 14 2020,13,8,N/A,0
United States,Mar 13 2020,11,7,N/A,0
United States,Mar 12 2020,7,6,N/A,0
United States,Mar 11 2020,12,5,N/A,0
United States,Mar 10 2020,7,4,N/A,0
United States,Mar  9 2020,4,3,N/A,0
United States,Mar  8 2020,4,4,N/A,0
United States,Mar  7 2020,5,3,N/A,0
United States,Mar  6 2020,3,2,N/A,0
United States,Mar  5 2020,3,2,N/A,0
United States,Mar  4 2020,4,2,N/A,0
United States,Mar  3 2020,3,1,N/A,0
United States,Mar  2 2020,6,1,N/A,0
United States,Mar  1 2020,0,0,N/A,0
United States,Feb 29 2020,1,0,N/A,0
United States,Feb 28 2020,0,0,N/A,0
United States,Feb 27 2020,1,0,N/A,0
United States,Feb 26 2020,0,0,N/A,0
United States,Feb 25 2020,0,0,N/A,0
United States,Feb 24 2020,0,0,N/A,0
United States,Feb 23 2020,0,0,N/A,0
United States,Feb 22 2020,0,0,N/A,0
United States,Feb 21 2020,0,0,N/A,0
United States,Feb 20 2020,0,0,N/A,0
United States,Feb 19 2020,0,0,N/A,0
United States,Feb 18 2020,0,0,N/A,0
United States,Feb 17 2020,0,0,N/A,0
United States,Feb 16 2020,0,0,N/A,0
United States,Feb 15 2020,0,0,N/A,0
United States,Feb 14 2020,0,0,N/A,0
United States,Feb 13 2020,0,0,N/A,0
United States,Feb 12 2020,0,0,N/A,0
United States,Feb 11 2020,0,0,N/A,0
United States,Feb 10 2020,0,0,N/A,0
United States,Feb  9 2020,0,0,N/A,0
United States,Feb  8 2020,0,0,N/A,0
United States,Feb  7 2020,0,0,N/A,0
United States,Feb  6 2020,0,0,N/A,0
United States,Feb  5 2020,0,0,N/A,0
United States,Feb  4 2020,0,0,N/A,0
United States,Feb  3 2020,0,0,N/A,0
United States,Feb  2 2020,0,0,N/A,0
United States,Feb  1 2020,0,0,N/A,0
United States,Jan 31 2020,0,0,N/A,0
United States,Jan 30 2020,0,0,N/A,0
United States,Jan 29 2020,0,0,N/A,0
United States,Jan 28 2020,0,0,N/A,0
United States,Jan 27 2020,0,0,N/A,0
United States,Jan 26 2020,0,0,N/A,0
United States,Jan 25 2020,0,0,N/A,0
United States,Jan 24 2020,0,0,N/A,0
United States,Jan 23 2020,0,0,N/A,0
